"caseid","xsa","xsb","xsb2","xsbc","xsbc2","xsc","za","zb","zc","zd","ze","zf","zg","school"
163,4.0,22.0,126.0,6.0,14.0,11.728036813823486,1.0,9.434459437616944,10.341742452703595,2.0,0.226100191473961,4.0,4.0,0.0
164,4.0,22.0,126.0,6.0,14.0,11.572033425331465,1.0,9.360461499560683,10.185739064211575,3.0,0.698202908039093,3.0,4.0,0.0
165,4.0,22.0,126.0,6.0,14.0,11.41329086290456,1.0,9.391769872839486,10.02699650178467,5.0,-0.374393910169601,3.0,2.0,0.0
166,4.0,38.0,366.0,54.0,734.0,11.259322704942349,1.0,9.51420828305853,9.873028343822458,7.0,-0.876408100128174,4.0,8.0,1.0
167,4.0,22.0,126.0,6.0,14.0,11.589886523766994,1.0,9.399364388059407,10.203592162647103,2.0,-1.00953483581543,4.0,6.0,0.0
168,4.0,22.0,126.0,6.0,14.0,11.846536472042999,1.0,9.288643105608141,10.460242110923108,1.0,0.0665967538952827,4.0,4.0,0.0
169,4.0,38.0,366.0,54.0,734.0,11.512925464970229,1.0,9.33070282679976,10.126631103850338,3.0,-0.200261756777763,4.0,7.0,1.0
170,4.0,22.0,126.0,6.0,14.0,11.759785557802916,1.0,9.474186327530132,10.373491196683027,2.0,0.164327010512352,4.0,3.0,0.0
171,4.0,22.0,126.0,6.0,14.0,11.790557187118896,1.0,9.370305535305276,10.404262825999005,0.0,-1.13297474384308,4.0,4.0,0.0
172,4.0,22.0,126.0,6.0,14.0,11.695247021764184,1.0,9.35187464704067,10.308952660644293,2.0,-2.66956329345703,4.0,3.0,0.0
173,4.0,38.0,366.0,54.0,734.0,11.982929094215963,1.0,9.370305535305276,10.596634733096073,1.0,0.0709189027547836,7.0,4.0,1.0
174,4.0,38.0,366.0,54.0,734.0,11.84939770159144,1.0,9.402432763601903,10.46310334047155,2.0,1.09829246997833,2.0,4.0,1.0
175,4.0,38.0,366.0,54.0,734.0,11.982929094215963,1.0,9.370305535305276,10.596634733096073,3.0,0.309025794267654,4.0,4.0,1.0
176,4.0,38.0,366.0,54.0,734.0,11.813351499960818,1.0,9.38347316312203,10.427057138840928,1.0,1.00659906864166,4.0,7.0,1.0
177,4.0,22.0,126.0,6.0,14.0,11.820410192767433,1.0,9.516421065106137,10.434115831647542,6.0,-0.744541525840759,3.0,6.0,0.0
178,4.0,22.0,126.0,6.0,14.0,11.623439177303617,1.0,9.500908051795264,10.237144816183726,3.0,0.834257900714874,4.0,4.0,0.0
179,4.0,22.0,126.0,6.0,14.0,11.623439177303617,1.0,9.422723833237042,10.237144816183726,7.0,0.479658007621765,4.0,4.0,0.0
180,4.0,22.0,126.0,6.0,14.0,11.84939770159144,1.0,9.210340371976184,10.46310334047155,1.0,-0.105093851685524,2.0,4.0,0.0
181,4.0,22.0,126.0,6.0,14.0,11.589886523766994,1.0,9.388271939154631,10.203592162647103,8.0,-0.288183361291885,2.0,1.0,0.0
182,4.0,22.0,126.0,6.0,14.0,11.551175352577857,1.0,9.469935963225351,10.164880991457967,2.0,-0.536382257938385,4.0,3.0,0.0
